baranggay_id,year,date,quarter,water,trees,crops,grass,shrubs-and-scrubs,flooded vegetation,built-up areas,bare ground,snow-and-ice
2,2016,7/1/2016,3,2.64,0.99,0.95,15.57,12.02,29.47,28.09,9.17,1.11
2,2016,10/1/2016,4,0.65,5.47,21.27,9.58,9.07,1.86,6.67,23.47,21.96
2,2017,1/1/2017,1,24.29,8.33,30.31,0.85,12.57,4.94,5.45,0.48,12.78
2,2017,4/1/2017,2,1.79,18.49,9.18,3.37,6.63,33.69,15.2,5.86,5.8
2,2017,7/1/2017,3,2.12,7.38,20.73,3.94,49.07,1.55,6.65,4.1,4.45
2,2017,10/1/2017,4,8.38,4.14,2.88,15.29,12.81,8.78,12.07,22.67,12.97
2,2018,1/1/2018,1,13.4,4.56,14.11,14.8,1.31,15.86,2.69,19.92,13.34
2,2018,4/1/2018,2,1.77,39.34,10.54,0.2,6.46,1.29,12.15,7.58,20.67
2,2018,7/1/2018,3,3.13,9.09,25.6,5.27,26.85,5.98,12.88,2.57,8.63
2,2018,10/1/2018,4,13.29,0.2,2.19,5.61,14.19,1.69,42.72,8.09,12.01
2,2019,1/1/2019,1,2.3,2.6,2.18,4.07,12.51,16.17,32.29,20.25,7.62
2,2019,4/1/2019,2,21.76,3.29,9.96,6.95,10.36,16.92,11.36,16.27,3.13
2,2019,7/1/2019,3,3.75,9.69,11.42,1.16,34.82,16.92,5.84,7.85,8.54
2,2019,10/1/2019,4,0.16,5.75,0.41,25.5,36.28,9.63,8.39,6.92,6.97
2,2020,1/1/2020,1,0.46,11.08,11.44,11.08,13.79,10.11,6.0,34.34,1.7
2,2020,4/1/2020,2,1.81,15.3,3.56,4.65,32.92,14.06,11.13,16.47,0.1
2,2020,7/1/2020,3,1.26,23.5,0.78,26.85,17.09,10.16,12.82,6.09,1.45
2,2020,10/1/2020,4,7.48,0.91,1.73,4.81,16.88,23.0,3.93,23.12,18.14
2,2021,1/1/2021,1,5.61,33.91,15.11,6.72,3.0,3.93,26.48,4.9,0.35
2,2021,4/1/2021,2,13.64,3.59,19.91,12.31,3.45,18.29,13.19,11.44,4.18
2,2021,7/1/2021,3,1.06,15.7,0.69,27.49,16.93,6.25,0.33,11.94,19.63
2,2021,10/1/2021,4,45.05,16.2,0.71,11.58,8.77,0.91,10.85,2.09,3.83
2,2022,1/1/2022,1,14.52,5.09,3.76,19.01,31.12,6.06,2.44,5.92,12.09
2,2022,4/1/2022,2,16.32,21.14,21.28,10.07,0.72,15.14,11.69,2.81,0.82
2,2022,7/1/2022,3,1.3,51.44,2.24,9.27,3.57,4.72,1.85,22.74,2.86
2,2022,10/1/2022,4,29.88,25.79,19.12,5.18,4.48,10.07,1.23,3.2,1.05
2,2023,1/1/2023,1,14.42,13.14,15.39,11.64,0.46,0.99,1.08,33.42,9.46
2,2023,4/1/2023,2,28.58,3.87,2.59,0.6,1.03,5.59,11.73,16.63,29.37
2,2023,7/1/2023,3,1.22,0.36,3.87,16.69,11.51,18.85,31.88,5.79,9.83
2,2023,10/1/2023,4,14.48,9.21,5.34,11.88,5.82,11.63,6.26,8.03,27.35
2,2024,1/1/2024,1,5.05,34.65,7.45,4.14,20.78,5.3,11.36,4.99,6.25
2,2024,4/1/2024,2,5.56,16.11,8.47,20.56,1.09,2.7,11.43,2.3,31.79
2,2024,7/1/2024,3,0.5,6.7,40.39,10.51,9.41,1.31,4.69,11.89,14.61
2,2024,10/1/2024,4,9.8,2.58,8.71,5.18,25.33,2.83,11.18,19.69,14.69
2,2025,1/1/2025,1,9.15,15.64,7.36,7.07,9.65,7.22,0.29,4.76,38.87
2,2025,4/1/2025,2,2.22,6.98,33.91,0.48,9.18,4.73,16.08,7.87,18.56
2,2025,7/1/2025,3,3.14,6.89,7.8,54.83,13.08,2.79,5.83,2.01,3.63
2,2025,10/1/2025,4,7.46,16.23,8.83,5.57,12.28,22.67,10.31,15.86,0.78
3,2016,1/1/2016,1,5.99,10.36,3.28,24.45,6.32,7.31,6.38,6.25,29.65
3,2016,4/1/2016,2,20.19,1.97,13.49,1.7,10.04,2.4,0.57,47.6,2.05
3,2016,7/1/2016,3,12.01,1.79,25.99,20.51,7.65,8.96,7.42,7.71,7.96
3,2016,10/1/2016,4,6.08,2.49,25.47,9.68,34.64,7.04,1.9,2.15,10.56
3,2017,1/1/2017,1,3.5,15.64,2.08,7.3,21.55,18.7,9.12,2.07,20.05
3,2017,4/1/2017,2,0.95,8.72,13.5,15.31,18.03,8.12,0.4,5.27,29.7
3,2017,7/1/2017,3,3.66,20.44,11.58,15.43,9.93,7.18,4.72,18.71,8.36
3,2017,10/1/2017,4,2.26,16.69,3.88,44.1,7.22,9.74,11.19,2.17,2.74
3,2018,1/1/2018,1,0.79,25.34,10.02,1.33,0.01,24.33,2.35,34.92,0.91
3,2018,4/1/2018,2,0.66,1.36,4.59,1.04,5.61,17.48,16.57,43.22,9.47
3,2018,7/1/2018,3,47.98,0.03,16.28,2.94,4.4,14.77,0.83,4.71,8.06
3,2018,10/1/2018,4,1.89,0.26,19.77,1.14,8.12,32.27,16.55,2.28,17.72
3,2019,1/1/2019,1,45.41,2.5,4.68,9.82,5.45,3.03,20.69,2.49,5.93
3,2019,4/1/2019,2,0.23,15.85,25.24,3.49,1.27,23.51,20.27,0.06,10.09
3,2019,7/1/2019,3,7.76,9.77,10.21,30.99,10.44,8.28,5.98,9.04,7.53
3,2019,10/1/2019,4,9.23,2.28,6.57,20.88,6.61,0.06,4.1,24.87,25.39
3,2020,1/1/2020,1,14.02,2.28,2.01,1.13,7.4,38.86,20.9,10.77,2.62
3,2020,4/1/2020,2,28.31,1.64,11.59,31.48,2.2,0.32,3.11,9.88,11.46
3,2020,7/1/2020,3,12.3,11.88,0.73,14.88,21.43,0.49,0.36,0.45,37.48
3,2020,10/1/2020,4,2.4,5.09,20.94,5.19,0.46,11.79,20.05,3.88,30.19
3,2021,1/1/2021,1,15.02,22.76,6.44,2.09,8.08,0.96,12.5,29.72,2.43
3,2021,4/1/2021,2,0.86,4.06,38.37,12.72,11.13,6.76,4.21,6.92,14.96
3,2021,7/1/2021,3,4.28,5.03,15.36,22.27,34.18,2.25,0.47,4.22,11.94
3,2021,10/1/2021,4,8.39,4.77,9.69,14.99,0.15,21.81,16.52,14.24,9.46
3,2022,1/1/2022,1,17.98,11.35,9.88,11.58,0.43,29.43,0.18,12.53,6.65
3,2022,4/1/2022,2,0.82,16.04,11.58,11.69,11.12,18.4,16.24,7.54,6.57
3,2022,7/1/2022,3,14.38,19.27,13.21,16.48,12.86,19.78,2.13,1.09,0.8
3,2022,10/1/2022,4,7.5,1.93,9.51,5.61,13.12,3.82,3.02,20.1,35.4
3,2023,1/1/2023,1,6.64,11.6,25.24,19.3,9.87,6.07,3.38,14.95,2.95
3,2023,4/1/2023,2,10.26,10.83,0.72,2.61,20.98,7.71,9.9,3.53,33.45
3,2023,7/1/2023,3,0.12,6.7,39.82,3.81,13.75,20.37,2.11,3.26,10.08
3,2023,10/1/2023,4,7.29,21.33,23.6,4.81,2.58,8.72,13.65,8.3,9.72
3,2024,1/1/2024,1,26.08,21.07,4.1,23.55,8.18,0.36,3.09,8.55,5.03
3,2024,4/1/2024,2,3.56,5.16,17.29,28.84,6.65,11.93,7.59,6.51,12.47
3,2024,7/1/2024,3,8.82,52.78,3.07,2.03,9.42,0.7,4.56,15.78,2.84
3,2024,10/1/2024,4,1.98,17.21,15.64,14.7,13.45,8.67,14.97,5.87,7.52
3,2025,1/1/2025,1,16.19,1.42,3.7,0.21,13.49,15.59,27.27,21.88,0.24
3,2025,4/1/2025,2,19.87,32.01,6.58,2.42,10.52,5.31,2.74,10.05,10.5
3,2025,7/1/2025,3,0.07,8.94,21.42,18.84,5.79,14.77,8.61,17.21,4.35
3,2025,10/1/2025,4,26.73,3.19,5.6,10.96,1.33,2.25,16.96,10.73,22.25
4,2016,1/1/2016,1,6.52,15.1,1.51,6.08,2.67,27.87,15.04,23.1,2.1
4,2016,4/1/2016,2,11.6,11.54,13.69,17.6,19.92,18.06,1.15,3.09,3.36
4,2016,7/1/2016,3,16.45,1.7,13.98,18.35,11.44,12.19,17.64,5.24,3.01
4,2016,10/1/2016,4,28.19,7.48,4.42,0.24,7.63,7.34,2.51,26.52,15.68
4,2017,1/1/2017,1,32.57,2.84,2.39,17.6,25.17,4.68,4.06,10.55,0.15
4,2017,4/1/2017,2,9.99,0.32,18.16,1.02,1.86,7.88,1.33,15.06,44.38
4,2017,7/1/2017,3,6.2,11.04,26.16,2.66,7.55,0.09,2.11,21.64,22.54
4,2017,10/1/2017,4,0.57,12.44,6.88,3.55,18.87,3.12,21.64,23.85,9.07
4,2018,1/1/2018,1,24.22,17.66,18.59,0.1,11.4,6.97,11.65,5.76,3.66
4,2018,4/1/2018,2,4.66,0.25,7.15,9.01,20.02,16.75,23.28,3.18,15.71
4,2018,7/1/2018,3,28.02,16.22,6.1,11.15,3.48,5.16,2.43,4.45,22.99
4,2018,10/1/2018,4,6.88,25.79,32.59,6.22,10.57,6.32,4.31,3.85,3.47
4,2019,1/1/2019,1,18.16,12.0,1.57,9.35,44.67,0.16,7.68,1.37,5.04
4,2019,4/1/2019,2,18.37,27.21,6.44,7.24,2.21,9.74,2.22,18.67,7.9
4,2019,7/1/2019,3,12.17,3.24,13.34,4.67,6.46,7.64,7.93,11.06,33.49
4,2019,10/1/2019,4,6.33,0.69,1.23,26.26,5.16,10.11,17.21,24.25,8.77
4,2020,1/1/2020,1,6.25,29.82,15.99,23.23,1.2,6.72,7.43,6.97,2.38
4,2020,4/1/2020,2,16.17,0.59,2.73,6.65,19.5,15.45,32.31,0.03,6.56
4,2020,7/1/2020,3,10.3,1.28,8.2,7.64,1.13,8.74,9.28,41.0,12.43
4,2020,10/1/2020,4,0.65,3.14,21.62,2.21,24.92,4.77,10.64,12.53,19.53
4,2021,1/1/2021,1,12.1,0.53,7.71,5.31,4.92,7.23,9.71,32.61,19.88
4,2021,4/1/2021,2,12.78,0.18,13.43,17.45,3.47,20.25,11.43,2.49,18.51
4,2021,7/1/2021,3,9.1,1.65,65.73,6.89,9.68,0.85,2.61,0.47,3.02
4,2021,10/1/2021,4,15.73,2.99,3.61,11.08,10.62,6.14,12.82,24.48,12.53
4,2022,1/1/2022,1,17.04,1.14,31.38,2.95,3.84,3.22,2.53,21.26,16.64
4,2022,4/1/2022,2,18.95,11.71,0.65,0.18,0.85,34.3,10.94,11.85,10.57
4,2022,7/1/2022,3,7.37,0.61,25.32,6.94,24.91,7.14,14.33,10.58,2.81
4,2022,10/1/2022,4,31.8,19.23,7.67,1.08,2.95,22.21,4.31,5.71,5.02
4,2023,1/1/2023,1,6.26,25.03,1.92,5.55,0.17,14.88,6.2,24.52,15.48
4,2023,4/1/2023,2,6.18,1.37,16.95,7.18,4.59,6.87,38.31,17.36,1.19
4,2023,7/1/2023,3,30.38,0.03,16.81,6.95,2.64,0.85,8.72,16.0,17.61
4,2023,10/1/2023,4,45.04,9.85,5.33,20.11,3.53,0.83,1.41,7.84,6.07
4,2024,1/1/2024,1,9.98,19.69,6.25,10.4,5.31,3.09,9.07,21.59,14.63
4,2024,4/1/2024,2,14.51,2.29,5.99,38.25,11.97,4.02,8.11,7.31,7.55
4,2024,7/1/2024,3,0.98,4.86,1.12,10.42,11.32,37.41,9.1,6.99,17.81
4,2024,10/1/2024,4,3.53,7.81,25.01,2.31,35.02,0.33,2.37,16.31,7.31
4,2025,1/1/2025,1,16.19,6.26,2.8,14.97,13.06,21.69,6.55,4.39,14.08
4,2025,4/1/2025,2,48.5,0.82,23.69,0.7,0.14,6.32,9.46,4.68,5.7
4,2025,7/1/2025,3,30.06,3.37,0.38,3.32,25.08,4.99,28.52,4.28,0.01
4,2025,10/1/2025,4,25.34,4.45,22.06,8.9,10.58,15.72,3.81,6.73,2.43
5,2016,1/1/2016,1,8.02,2.07,11.14,5.99,21.11,11.89,8.63,8.48,22.67
5,2016,4/1/2016,2,3.93,15.14,12.0,2.73,25.4,0.56,7.14,25.18,7.93
5,2016,7/1/2016,3,8.2,11.91,5.01,10.57,44.53,8.48,4.49,2.25,4.55
5,2016,10/1/2016,4,11.44,27.48,4.27,14.01,4.06,5.91,13.65,16.47,2.71
5,2017,1/1/2017,1,11.04,37.53,2.75,7.62,11.67,3.22,1.2,12.42,12.54
5,2017,4/1/2017,2,7.72,28.31,6.56,9.36,4.49,28.53,0.76,3.97,10.29
5,2017,7/1/2017,3,27.31,13.03,10.79,11.51,12.97,3.48,5.02,1.51,14.39
5,2017,10/1/2017,4,0.44,1.13,9.24,14.63,4.82,16.94,20.87,1.87,30.07
5,2018,1/1/2018,1,5.58,1.61,5.34,19.76,11.68,10.15,32.25,11.63,1.99
5,2018,4/1/2018,2,26.1,2.35,26.74,1.02,11.86,4.12,19.45,5.75,2.61
5,2018,7/1/2018,3,15.26,28.2,8.01,17.44,0.62,2.68,10.28,15.84,1.68
5,2018,10/1/2018,4,14.24,22.84,7.65,2.69,4.89,39.9,1.39,4.41,1.98
5,2019,1/1/2019,1,21.78,3.29,17.06,3.12,8.57,5.58,0.2,2.0,38.41
5,2019,4/1/2019,2,5.95,12.21,13.11,6.67,9.31,11.67,5.35,25.93,9.81
5,2019,7/1/2019,3,3.08,6.15,4.41,26.15,28.91,14.08,6.73,7.85,2.65
5,2019,10/1/2019,4,1.01,15.7,16.8,6.2,40.79,0.73,4.2,12.22,2.35
5,2020,1/1/2020,1,8.56,11.06,10.79,16.53,4.02,9.57,1.85,21.04,16.56
5,2020,4/1/2020,2,3.9,2.24,16.08,2.52,18.69,29.91,9.45,6.2,11.02
5,2020,7/1/2020,3,0.13,1.48,0.19,6.04,16.44,25.89,16.09,4.95,28.78
5,2020,10/1/2020,4,11.9,5.0,26.05,15.83,3.22,22.08,2.55,8.6,4.76
5,2021,1/1/2021,1,20.44,21.11,8.48,3.36,2.84,25.32,14.48,3.19,0.77
5,2021,4/1/2021,2,11.15,7.59,9.67,7.48,47.8,1.0,2.33,4.17,8.81
5,2021,7/1/2021,3,13.26,9.26,1.72,18.04,5.37,5.02,1.07,43.09,3.17
5,2021,10/1/2021,4,8.2,10.13,40.12,3.91,3.82,16.25,7.85,0.62,9.09
5,2022,1/1/2022,1,3.43,27.59,3.29,18.96,18.01,0.39,2.27,5.68,20.37
5,2022,4/1/2022,2,22.83,11.68,15.29,13.26,0.77,1.44,2.05,19.47,13.21
5,2022,7/1/2022,3,1.86,0.75,0.14,12.72,14.96,22.9,11.67,28.42,6.59
5,2022,10/1/2022,4,6.37,6.39,0.69,0.22,13.46,0.96,3.74,30.5,37.68
5,2023,1/1/2023,1,2.67,2.0,4.73,1.4,26.84,42.05,0.08,5.74,14.49
5,2023,4/1/2023,2,11.52,1.51,12.9,28.84,10.67,5.08,8.98,7.84,12.65
5,2023,7/1/2023,3,10.53,14.75,11.35,7.14,40.54,5.14,5.62,3.79,1.14
5,2023,10/1/2023,4,4.23,0.11,18.06,19.85,19.98,1.36,1.26,6.62,28.52
5,2024,1/1/2024,1,0.46,16.33,3.9,36.69,12.24,7.74,5.37,8.51,8.77
5,2024,4/1/2024,2,16.35,5.68,11.48,37.49,3.64,9.36,5.84,0.85,9.29
5,2024,7/1/2024,3,4.68,5.08,3.99,3.25,21.13,52.85,5.22,2.04,1.76
5,2024,10/1/2024,4,2.01,30.85,2.33,25.63,16.05,10.14,2.26,7.46,3.27
5,2025,1/1/2025,1,15.19,1.24,2.47,21.76,15.75,22.2,2.32,6.98,12.09
5,2025,4/1/2025,2,4.17,3.08,16.29,11.2,1.62,38.55,13.61,0.88,10.61
5,2025,7/1/2025,3,11.01,3.5,1.58,12.23,0.81,18.23,15.95,34.53,2.16
5,2025,10/1/2025,4,2.02,9.19,5.09,7.03,27.44,14.8,23.16,6.17,5.1
